Date,kWh
2017-05-07,360621.7999999997
2017-05-08,545762.3200000002
2017-05-09,563390.8500000003
2017-05-10,565323.4500000004
2017-05-11,559663.7999999996
2017-05-12,541178.5099999999
2017-05-13,379316.7700000002
2017-05-14,359741.66999999975
2017-05-15,544056.53
2017-05-16,538848.3800000002
2017-05-17,541367.6199999999
2017-05-18,543659.3699999999
2017-05-19,517540.58999999973
2017-05-20,370642.50000000047
2017-05-21,350205.9499999998
2017-05-22,529352.2100000001
2017-05-23,510200.5199999998
2017-05-24,514001.51999999967
2017-05-25,391745.8399999999
2017-05-26,488599.10000000003
2017-05-27,352643.98000000016
2017-05-28,344251.6699999995
2017-05-29,506284.6399999999
2017-05-30,513509.71
2017-05-31,520298.38000000035
2017-06-01,520400.3400000005
2017-06-02,513799.86000000045
2017-06-03,371218.61000000016
2017-06-04,335446.96999999986
2017-06-05,490258.5499999999
2017-06-06,476460.0300000003
2017-06-07,472869.33000000037
2017-06-08,493632.4999999997
2017-06-09,469653.9300000002
2017-06-10,358616.1400000001
2017-06-11,346069.5299999999
2017-06-12,492641.75999999954
2017-06-13,479257.8799999997
2017-06-14,462164.54999999894
2017-06-15,456865.2400000001
2017-06-16,453019.58000000025
2017-06-17,355637.33999999997
2017-06-18,330030.69
2017-06-19,454988.03000000014
2017-06-20,468643.33999999997
2017-06-21,454039.49000000005
2017-06-22,439419.73999999964
2017-06-23,357228.53999999975
2017-06-24,321579.70999999996
2017-06-25,318022.6100000002
2017-06-26,427676.2999999999
2017-06-27,435261.5699999999
2017-06-28,430896.00999999983
2017-06-29,430948.6700000002
2017-06-30,420434.0600000002
2017-07-01,328311.95000000024
2017-07-02,314243.8200000001
2017-07-03,410636.48000000004
2017-07-04,410760.08999999985
2017-07-05,413671.7600000002
2017-07-06,413141.90999999986
2017-07-07,401525.2400000003
2017-07-08,328225.71000000014
2017-07-09,315139.47999999986
2017-07-10,405237.94
2017-07-11,411075.94999999995
2017-07-12,415117.7499999998
2017-07-13,410472.05
2017-07-14,397796.1400000001
2017-07-15,326589.1700000003
2017-07-16,313056.84999999986
2017-07-17,403931.1399999997
2017-07-18,401405.1399999995
2017-07-19,402684.78000000026
2017-07-20,402359.3099999998
2017-07-21,394649.43000000005
2017-07-22,325466.9799999996
2017-07-23,314024.6799999998
2017-07-24,401248.59000000026
